0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
 想要毁灭幻想乡,1,1,2,0,2,0,0,0,0,0,0,1
 先问问我的魔炮答不答应！,1,1,2,0,2,0,0,0,0,0,0,1
 说的对，威胁三界秩序之人,0,0,2,1,1,0,0,0,0,0,0,0
 注定要被消灭！,0,0,2,1,1,0,0,0,0,0,0,0
 也好！蚍蜉撼树之人啊,1,0,2,0,2,1,6,0,0,0,0,0
 就让你们来当第一个祭品！,1,0,2,0,2,1,6,0,0,0,0,0
罗波那、水持、伯利……,0,0,2,0,2,1,2,0,0,0,-1,0
曾与天抗争的诸阿修罗王啊,0,0,2,0,2,1,2,0,0,0,0,0
       见证吧！现在正是复仇之时！,1,0,2,0,2,1,8,0,0,0,1,1
       阿修罗的怒火必将烧尽一切！,1,0,2,0,2,1,8,0,0,0,0,1
